Espece;DHPcm;QualiteABCD;eco
BOJ;24;C;3E
BOJ;24;C;3O
BOJ;24;C;4E
BOJ;24;C;4O_b
BOJ;24;C;4O_c
BOJ;24;D;3E
BOJ;24;D;3O
BOJ;24;D;4E
BOJ;24;D;4O_b
BOJ;24;D;4O_c
BOJ;26;C;3E
BOJ;26;C;3O
BOJ;26;C;4E
BOJ;26;C;4O_b
BOJ;26;C;4O_c
BOJ;26;D;3E
BOJ;26;D;3O
BOJ;26;D;4E
BOJ;26;D;4O_b
BOJ;26;D;4O_c
BOJ;28;C;3E
BOJ;28;C;3O
BOJ;28;C;4E
BOJ;28;C;4O_b
BOJ;28;C;4O_c
BOJ;28;D;3E
BOJ;28;D;3O
BOJ;28;D;4E
BOJ;28;D;4O_b
BOJ;28;D;4O_c
BOJ;30;C;3E
BOJ;30;C;3O
BOJ;30;C;4E
BOJ;30;C;4O_b
BOJ;30;C;4O_c
BOJ;30;D;3E
BOJ;30;D;3O
BOJ;30;D;4E
BOJ;30;D;4O_b
BOJ;30;D;4O_c
BOJ;32;C;3E
BOJ;32;C;3O
BOJ;32;C;4E
BOJ;32;C;4O_b
BOJ;32;C;4O_c
BOJ;32;D;3E
BOJ;32;D;3O
BOJ;32;D;4E
BOJ;32;D;4O_b
BOJ;32;D;4O_c
BOJ;34;B;3E
BOJ;34;B;3O
BOJ;34;B;4E
BOJ;34;B;4O_b
BOJ;34;B;4O_c
BOJ;34;C;3E
BOJ;34;C;3O
BOJ;34;C;4E
BOJ;34;C;4O_b
BOJ;34;C;4O_c
BOJ;34;D;3E
BOJ;34;D;3O
BOJ;34;D;4E
BOJ;34;D;4O_b
BOJ;34;D;4O_c
BOJ;36;B;3E
BOJ;36;B;3O
BOJ;36;B;4E
BOJ;36;B;4O_b
BOJ;36;B;4O_c
BOJ;36;C;3E
BOJ;36;C;3O
BOJ;36;C;4E
BOJ;36;C;4O_b
BOJ;36;C;4O_c
BOJ;36;D;3E
BOJ;36;D;3O
BOJ;36;D;4E
BOJ;36;D;4O_b
BOJ;36;D;4O_c
BOJ;38;B;3E
BOJ;38;B;3O
BOJ;38;B;4E
BOJ;38;B;4O_b
BOJ;38;B;4O_c
BOJ;38;C;3E
BOJ;38;C;3O
BOJ;38;C;4E
BOJ;38;C;4O_b
BOJ;38;C;4O_c
BOJ;38;D;3E
BOJ;38;D;3O
BOJ;38;D;4E
BOJ;38;D;4O_b
BOJ;38;D;4O_c
BOJ;40;A;3E
BOJ;40;A;3O
BOJ;40;A;4E
BOJ;40;A;4O_b
BOJ;40;A;4O_c
BOJ;40;B;3E
BOJ;40;B;3O
BOJ;40;B;4E
BOJ;40;B;4O_b
BOJ;40;B;4O_c
BOJ;40;C;3E
BOJ;40;C;3O
BOJ;40;C;4E
BOJ;40;C;4O_b
BOJ;40;C;4O_c
BOJ;40;D;3E
BOJ;40;D;3O
BOJ;40;D;4E
BOJ;40;D;4O_b
BOJ;40;D;4O_c
BOJ;42;A;3E
BOJ;42;A;3O
BOJ;42;A;4E
BOJ;42;A;4O_b
BOJ;42;A;4O_c
BOJ;42;B;3E
BOJ;42;B;3O
BOJ;42;B;4E
BOJ;42;B;4O_b
BOJ;42;B;4O_c
BOJ;42;C;3E
BOJ;42;C;3O
BOJ;42;C;4E
BOJ;42;C;4O_b
BOJ;42;C;4O_c
BOJ;42;D;3E
BOJ;42;D;3O
BOJ;42;D;4E
BOJ;42;D;4O_b
BOJ;42;D;4O_c
BOJ;44;A;3E
BOJ;44;A;3O
BOJ;44;A;4E
BOJ;44;A;4O_b
BOJ;44;A;4O_c
BOJ;44;B;3E
BOJ;44;B;3O
BOJ;44;B;4E
BOJ;44;B;4O_b
BOJ;44;B;4O_c
BOJ;44;C;3E
BOJ;44;C;3O
BOJ;44;C;4E
BOJ;44;C;4O_b
BOJ;44;C;4O_c
BOJ;44;D;3E
BOJ;44;D;3O
BOJ;44;D;4E
BOJ;44;D;4O_b
BOJ;44;D;4O_c
BOJ;46;A;3E
BOJ;46;A;3O
BOJ;46;A;4E
BOJ;46;A;4O_b
BOJ;46;A;4O_c
BOJ;46;B;3E
BOJ;46;B;3O
BOJ;46;B;4E
BOJ;46;B;4O_b
BOJ;46;B;4O_c
BOJ;46;C;3E
BOJ;46;C;3O
BOJ;46;C;4E
BOJ;46;C;4O_b
BOJ;46;C;4O_c
BOJ;46;D;3E
BOJ;46;D;3O
BOJ;46;D;4E
BOJ;46;D;4O_b
BOJ;46;D;4O_c
BOJ;48;A;3E
BOJ;48;A;3O
BOJ;48;A;4E
BOJ;48;A;4O_b
BOJ;48;A;4O_c
BOJ;48;B;3E
BOJ;48;B;3O
BOJ;48;B;4E
BOJ;48;B;4O_b
BOJ;48;B;4O_c
BOJ;48;C;3E
BOJ;48;C;3O
BOJ;48;C;4E
BOJ;48;C;4O_b
BOJ;48;C;4O_c
BOJ;48;D;3E
BOJ;48;D;3O
BOJ;48;D;4E
BOJ;48;D;4O_b
BOJ;48;D;4O_c
BOJ;50;A;3E
BOJ;50;A;3O
BOJ;50;A;4E
BOJ;50;A;4O_b
BOJ;50;A;4O_c
BOJ;50;B;3E
BOJ;50;B;3O
BOJ;50;B;4E
BOJ;50;B;4O_b
BOJ;50;B;4O_c
BOJ;50;C;3E
BOJ;50;C;3O
BOJ;50;C;4E
BOJ;50;C;4O_b
BOJ;50;C;4O_c
BOJ;50;D;3E
BOJ;50;D;3O
BOJ;50;D;4E
BOJ;50;D;4O_b
BOJ;50;D;4O_c
BOJ;52;A;3E
BOJ;52;A;3O
BOJ;52;A;4E
BOJ;52;A;4O_b
BOJ;52;A;4O_c
BOJ;52;B;3E
BOJ;52;B;3O
BOJ;52;B;4E
BOJ;52;B;4O_b
BOJ;52;B;4O_c
BOJ;52;C;3E
BOJ;52;C;3O
BOJ;52;C;4E
BOJ;52;C;4O_b
BOJ;52;C;4O_c
BOJ;52;D;3E
BOJ;52;D;3O
BOJ;52;D;4E
BOJ;52;D;4O_b
BOJ;52;D;4O_c
BOJ;54;A;3E
BOJ;54;A;3O
BOJ;54;A;4E
BOJ;54;A;4O_b
BOJ;54;A;4O_c
BOJ;54;B;3E
BOJ;54;B;3O
BOJ;54;B;4E
BOJ;54;B;4O_b
BOJ;54;B;4O_c
BOJ;54;C;3E
BOJ;54;C;3O
BOJ;54;C;4E
BOJ;54;C;4O_b
BOJ;54;C;4O_c
BOJ;54;D;3E
BOJ;54;D;3O
BOJ;54;D;4E
BOJ;54;D;4O_b
BOJ;54;D;4O_c
BOJ;56;A;3E
BOJ;56;A;3O
BOJ;56;A;4E
BOJ;56;A;4O_b
BOJ;56;A;4O_c
BOJ;56;B;3E
BOJ;56;B;3O
BOJ;56;B;4E
BOJ;56;B;4O_b
BOJ;56;B;4O_c
BOJ;56;C;3E
BOJ;56;C;3O
BOJ;56;C;4E
BOJ;56;C;4O_b
BOJ;56;C;4O_c
BOJ;56;D;3E
BOJ;56;D;3O
BOJ;56;D;4E
BOJ;56;D;4O_b
BOJ;56;D;4O_c
BOJ;58;A;3E
BOJ;58;A;3O
BOJ;58;A;4E
BOJ;58;A;4O_b
BOJ;58;A;4O_c
BOJ;58;B;3E
BOJ;58;B;3O
BOJ;58;B;4E
BOJ;58;B;4O_b
BOJ;58;B;4O_c
BOJ;58;C;3E
BOJ;58;C;3O
BOJ;58;C;4E
BOJ;58;C;4O_b
BOJ;58;C;4O_c
BOJ;58;D;3E
BOJ;58;D;3O
BOJ;58;D;4E
BOJ;58;D;4O_b
BOJ;58;D;4O_c
BOJ;60;A;3E
BOJ;60;A;3O
BOJ;60;A;4E
BOJ;60;A;4O_b
BOJ;60;A;4O_c
BOJ;60;B;3E
BOJ;60;B;3O
BOJ;60;B;4E
BOJ;60;B;4O_b
BOJ;60;B;4O_c
BOJ;60;C;3E
BOJ;60;C;3O
BOJ;60;C;4E
BOJ;60;C;4O_b
BOJ;60;C;4O_c
BOJ;60;D;3E
BOJ;60;D;3O
BOJ;60;D;4E
BOJ;60;D;4O_b
BOJ;60;D;4O_c
BOJ;62;A;3E
BOJ;62;A;3O
BOJ;62;A;4E
BOJ;62;A;4O_b
BOJ;62;A;4O_c
BOJ;62;B;3E
BOJ;62;B;3O
BOJ;62;B;4E
BOJ;62;B;4O_b
BOJ;62;B;4O_c
BOJ;62;C;3E
BOJ;62;C;3O
BOJ;62;C;4E
BOJ;62;C;4O_b
BOJ;62;C;4O_c
BOJ;62;D;3E
BOJ;62;D;3O
BOJ;62;D;4E
BOJ;62;D;4O_b
BOJ;62;D;4O_c
BOJ;64;A;3E
BOJ;64;A;3O
BOJ;64;A;4E
BOJ;64;A;4O_b
BOJ;64;A;4O_c
BOJ;64;B;3E
BOJ;64;B;3O
BOJ;64;B;4E
BOJ;64;B;4O_b
BOJ;64;B;4O_c
BOJ;64;C;3E
BOJ;64;C;3O
BOJ;64;C;4E
BOJ;64;C;4O_b
BOJ;64;C;4O_c
BOJ;64;D;3E
BOJ;64;D;3O
BOJ;64;D;4E
BOJ;64;D;4O_b
BOJ;64;D;4O_c
BOJ;66;A;3E
BOJ;66;A;3O
BOJ;66;A;4E
BOJ;66;A;4O_b
BOJ;66;A;4O_c
BOJ;66;B;3E
BOJ;66;B;3O
BOJ;66;B;4E
BOJ;66;B;4O_b
BOJ;66;B;4O_c
BOJ;66;C;3E
BOJ;66;C;3O
BOJ;66;C;4E
BOJ;66;C;4O_b
BOJ;66;C;4O_c
BOJ;66;D;3E
BOJ;66;D;3O
BOJ;66;D;4E
BOJ;66;D;4O_b
BOJ;66;D;4O_c
BOJ;68;A;3E
BOJ;68;A;3O
BOJ;68;A;4E
BOJ;68;A;4O_b
BOJ;68;A;4O_c
BOJ;68;B;3E
BOJ;68;B;3O
BOJ;68;B;4E
BOJ;68;B;4O_b
BOJ;68;B;4O_c
BOJ;68;C;3E
BOJ;68;C;3O
BOJ;68;C;4E
BOJ;68;C;4O_b
BOJ;68;C;4O_c
BOJ;68;D;3E
BOJ;68;D;3O
BOJ;68;D;4E
BOJ;68;D;4O_b
BOJ;68;D;4O_c
BOJ;70;A;3E
BOJ;70;A;3O
BOJ;70;A;4E
BOJ;70;A;4O_b
BOJ;70;A;4O_c
BOJ;70;B;3E
BOJ;70;B;3O
BOJ;70;B;4E
BOJ;70;B;4O_b
BOJ;70;B;4O_c
BOJ;70;C;3E
BOJ;70;C;3O
BOJ;70;C;4E
BOJ;70;C;4O_b
BOJ;70;C;4O_c
BOJ;70;D;3E
BOJ;70;D;3O
BOJ;70;D;4E
BOJ;70;D;4O_b
BOJ;70;D;4O_c
BOJ;72;A;3E
BOJ;72;A;3O
BOJ;72;A;4E
BOJ;72;A;4O_b
BOJ;72;A;4O_c
BOJ;72;B;3E
BOJ;72;B;3O
BOJ;72;B;4E
BOJ;72;B;4O_b
BOJ;72;B;4O_c
BOJ;72;C;3E
BOJ;72;C;3O
BOJ;72;C;4E
BOJ;72;C;4O_b
BOJ;72;C;4O_c
BOJ;72;D;3E
BOJ;72;D;3O
BOJ;72;D;4E
BOJ;72;D;4O_b
BOJ;72;D;4O_c
BOJ;74;A;3E
BOJ;74;A;3O
BOJ;74;A;4E
BOJ;74;A;4O_b
BOJ;74;A;4O_c
BOJ;74;B;3E
BOJ;74;B;3O
BOJ;74;B;4E
BOJ;74;B;4O_b
BOJ;74;B;4O_c
BOJ;74;C;3E
BOJ;74;C;3O
BOJ;74;C;4E
BOJ;74;C;4O_b
BOJ;74;C;4O_c
BOJ;74;D;3E
BOJ;74;D;3O
BOJ;74;D;4E
BOJ;74;D;4O_b
BOJ;74;D;4O_c
BOJ;76;A;3E
BOJ;76;A;3O
BOJ;76;A;4E
BOJ;76;A;4O_b
BOJ;76;A;4O_c
BOJ;76;B;3E
BOJ;76;B;3O
BOJ;76;B;4E
BOJ;76;B;4O_b
BOJ;76;B;4O_c
BOJ;76;C;3E
BOJ;76;C;3O
BOJ;76;C;4E
BOJ;76;C;4O_b
BOJ;76;C;4O_c
BOJ;76;D;3E
BOJ;76;D;3O
BOJ;76;D;4E
BOJ;76;D;4O_b
BOJ;76;D;4O_c
BOJ;78;A;3E
BOJ;78;A;3O
BOJ;78;A;4E
BOJ;78;A;4O_b
BOJ;78;A;4O_c
BOJ;78;B;3E
BOJ;78;B;3O
BOJ;78;B;4E
BOJ;78;B;4O_b
BOJ;78;B;4O_c
BOJ;78;C;3E
BOJ;78;C;3O
BOJ;78;C;4E
BOJ;78;C;4O_b
BOJ;78;C;4O_c
BOJ;78;D;3E
BOJ;78;D;3O
BOJ;78;D;4E
BOJ;78;D;4O_b
BOJ;78;D;4O_c
BOJ;80;A;3E
BOJ;80;A;3O
BOJ;80;A;4E
BOJ;80;A;4O_b
BOJ;80;A;4O_c
BOJ;80;B;3E
BOJ;80;B;3O
BOJ;80;B;4E
BOJ;80;B;4O_b
BOJ;80;B;4O_c
BOJ;80;C;3E
BOJ;80;C;3O
BOJ;80;C;4E
BOJ;80;C;4O_b
BOJ;80;C;4O_c
BOJ;80;D;3E
BOJ;80;D;3O
BOJ;80;D;4E
BOJ;80;D;4O_b
BOJ;80;D;4O_c
BOJ;82;A;3E
BOJ;82;A;3O
BOJ;82;A;4E
BOJ;82;A;4O_b
BOJ;82;A;4O_c
BOJ;82;B;3E
BOJ;82;B;3O
BOJ;82;B;4E
BOJ;82;B;4O_b
BOJ;82;B;4O_c
BOJ;82;C;3E
BOJ;82;C;3O
BOJ;82;C;4E
BOJ;82;C;4O_b
BOJ;82;C;4O_c
BOJ;82;D;3E
BOJ;82;D;3O
BOJ;82;D;4E
BOJ;82;D;4O_b
BOJ;82;D;4O_c
BOJ;84;A;3E
BOJ;84;A;3O
BOJ;84;A;4E
BOJ;84;A;4O_b
BOJ;84;A;4O_c
BOJ;84;B;3E
BOJ;84;B;3O
BOJ;84;B;4E
BOJ;84;B;4O_b
BOJ;84;B;4O_c
BOJ;84;C;3E
BOJ;84;C;3O
BOJ;84;C;4E
BOJ;84;C;4O_b
BOJ;84;C;4O_c
BOJ;84;D;3E
BOJ;84;D;3O
BOJ;84;D;4E
BOJ;84;D;4O_b
BOJ;84;D;4O_c
BOJ;86;A;3E
BOJ;86;A;3O
BOJ;86;A;4E
BOJ;86;A;4O_b
BOJ;86;A;4O_c
BOJ;86;B;3E
BOJ;86;B;3O
BOJ;86;B;4E
BOJ;86;B;4O_b
BOJ;86;B;4O_c
BOJ;86;C;3E
BOJ;86;C;3O
BOJ;86;C;4E
BOJ;86;C;4O_b
BOJ;86;C;4O_c
BOJ;86;D;3E
BOJ;86;D;3O
BOJ;86;D;4E
BOJ;86;D;4O_b
BOJ;86;D;4O_c
BOJ;88;A;3E
BOJ;88;A;3O
BOJ;88;A;4E
BOJ;88;A;4O_b
BOJ;88;A;4O_c
BOJ;88;B;3E
BOJ;88;B;3O
BOJ;88;B;4E
BOJ;88;B;4O_b
BOJ;88;B;4O_c
BOJ;88;C;3E
BOJ;88;C;3O
BOJ;88;C;4E
BOJ;88;C;4O_b
BOJ;88;C;4O_c
BOJ;88;D;3E
BOJ;88;D;3O
BOJ;88;D;4E
BOJ;88;D;4O_b
BOJ;88;D;4O_c
BOJ;90;A;3E
BOJ;90;A;3O
BOJ;90;A;4E
BOJ;90;A;4O_b
BOJ;90;A;4O_c
BOJ;90;B;3E
BOJ;90;B;3O
BOJ;90;B;4E
BOJ;90;B;4O_b
BOJ;90;B;4O_c
BOJ;90;C;3E
BOJ;90;C;3O
BOJ;90;C;4E
BOJ;90;C;4O_b
BOJ;90;C;4O_c
BOJ;90;D;3E
BOJ;90;D;3O
BOJ;90;D;4E
BOJ;90;D;4O_b
BOJ;90;D;4O_c
BOJ;92;A;3E
BOJ;92;A;3O
BOJ;92;A;4E
BOJ;92;A;4O_b
BOJ;92;A;4O_c
BOJ;92;B;3E
BOJ;92;B;3O
BOJ;92;B;4E
BOJ;92;B;4O_b
BOJ;92;B;4O_c
BOJ;92;C;3E
BOJ;92;C;3O
BOJ;92;C;4E
BOJ;92;C;4O_b
BOJ;92;C;4O_c
BOJ;92;D;3E
BOJ;92;D;3O
BOJ;92;D;4E
BOJ;92;D;4O_b
BOJ;92;D;4O_c
BOJ;94;A;3E
BOJ;94;A;3O
BOJ;94;A;4E
BOJ;94;A;4O_b
BOJ;94;A;4O_c
BOJ;94;B;3E
BOJ;94;B;3O
BOJ;94;B;4E
BOJ;94;B;4O_b
BOJ;94;B;4O_c
BOJ;94;C;3E
BOJ;94;C;3O
BOJ;94;C;4E
BOJ;94;C;4O_b
BOJ;94;C;4O_c
BOJ;94;D;3E
BOJ;94;D;3O
BOJ;94;D;4E
BOJ;94;D;4O_b
BOJ;94;D;4O_c
BOJ;96;A;3E
BOJ;96;A;3O
BOJ;96;A;4E
BOJ;96;A;4O_b
BOJ;96;A;4O_c
BOJ;96;B;3E
BOJ;96;B;3O
BOJ;96;B;4E
BOJ;96;B;4O_b
BOJ;96;B;4O_c
BOJ;96;C;3E
BOJ;96;C;3O
BOJ;96;C;4E
BOJ;96;C;4O_b
BOJ;96;C;4O_c
BOJ;96;D;3E
BOJ;96;D;3O
BOJ;96;D;4E
BOJ;96;D;4O_b
BOJ;96;D;4O_c
BOJ;98;A;3E
BOJ;98;A;3O
BOJ;98;A;4E
BOJ;98;A;4O_b
BOJ;98;A;4O_c
BOJ;98;B;3E
BOJ;98;B;3O
BOJ;98;B;4E
BOJ;98;B;4O_b
BOJ;98;B;4O_c
BOJ;98;C;3E
BOJ;98;C;3O
BOJ;98;C;4E
BOJ;98;C;4O_b
BOJ;98;C;4O_c
BOJ;98;D;3E
BOJ;98;D;3O
BOJ;98;D;4E
BOJ;98;D;4O_b
BOJ;98;D;4O_c
BOJ;100;A;3E
BOJ;100;A;3O
BOJ;100;A;4E
BOJ;100;A;4O_b
BOJ;100;A;4O_c
BOJ;100;B;3E
BOJ;100;B;3O
BOJ;100;B;4E
BOJ;100;B;4O_b
BOJ;100;B;4O_c
BOJ;100;C;3E
BOJ;100;C;3O
BOJ;100;C;4E
BOJ;100;C;4O_b
BOJ;100;C;4O_c
BOJ;100;D;3E
BOJ;100;D;3O
BOJ;100;D;4E
BOJ;100;D;4O_b
BOJ;100;D;4O_c
ERS;24;C;2O
ERS;24;C;3O_a
ERS;24;C;3O_b
ERS;24;C;4E
ERS;24;C;4O_b
ERS;24;C;4O_c
ERS;24;D;2O
ERS;24;D;3O_a
ERS;24;D;3O_b
ERS;24;D;4E
ERS;24;D;4O_b
ERS;24;D;4O_c
ERS;26;C;2O
ERS;26;C;3O_a
ERS;26;C;3O_b
ERS;26;C;4E
ERS;26;C;4O_b
ERS;26;C;4O_c
ERS;26;D;2O
ERS;26;D;3O_a
ERS;26;D;3O_b
ERS;26;D;4E
ERS;26;D;4O_b
ERS;26;D;4O_c
ERS;28;C;2O
ERS;28;C;3O_a
ERS;28;C;3O_b
ERS;28;C;4E
ERS;28;C;4O_b
ERS;28;C;4O_c
ERS;28;D;2O
ERS;28;D;3O_a
ERS;28;D;3O_b
ERS;28;D;4E
ERS;28;D;4O_b
ERS;28;D;4O_c
ERS;30;C;2O
ERS;30;C;3O_a
ERS;30;C;3O_b
ERS;30;C;4E
ERS;30;C;4O_b
ERS;30;C;4O_c
ERS;30;D;2O
ERS;30;D;3O_a
ERS;30;D;3O_b
ERS;30;D;4E
ERS;30;D;4O_b
ERS;30;D;4O_c
ERS;32;C;2O
ERS;32;C;3O_a
ERS;32;C;3O_b
ERS;32;C;4E
ERS;32;C;4O_b
ERS;32;C;4O_c
ERS;32;D;2O
ERS;32;D;3O_a
ERS;32;D;3O_b
ERS;32;D;4E
ERS;32;D;4O_b
ERS;32;D;4O_c
ERS;34;B;2O
ERS;34;B;3O_a
ERS;34;B;3O_b
ERS;34;B;4E
ERS;34;B;4O_b
ERS;34;B;4O_c
ERS;34;C;2O
ERS;34;C;3O_a
ERS;34;C;3O_b
ERS;34;C;4E
ERS;34;C;4O_b
ERS;34;C;4O_c
ERS;34;D;2O
ERS;34;D;3O_a
ERS;34;D;3O_b
ERS;34;D;4E
ERS;34;D;4O_b
ERS;34;D;4O_c
ERS;36;B;2O
ERS;36;B;3O_a
ERS;36;B;3O_b
ERS;36;B;4E
ERS;36;B;4O_b
ERS;36;B;4O_c
ERS;36;C;2O
