Espece;DHPcm;eco
BOJ;24;3O
BOJ;24;3E
BOJ;24;4O_b
BOJ;24;4O_c
BOJ;24;4E
BOJ;26;3O
BOJ;26;3E
BOJ;26;4O_b
BOJ;26;4O_c
BOJ;26;4E
BOJ;28;3O
BOJ;28;3E
BOJ;28;4O_b
BOJ;28;4O_c
BOJ;28;4E
BOJ;30;3O
BOJ;30;3E
BOJ;30;4O_b
BOJ;30;4O_c
BOJ;30;4E
BOJ;32;3O
BOJ;32;3E
BOJ;32;4O_b
BOJ;32;4O_c
BOJ;32;4E
BOJ;34;3O
BOJ;34;3E
BOJ;34;4O_b
BOJ;34;4O_c
BOJ;34;4E
BOJ;36;3O
BOJ;36;3E
BOJ;36;4O_b
BOJ;36;4O_c
BOJ;36;4E
BOJ;38;3O
BOJ;38;3E
BOJ;38;4O_b
BOJ;38;4O_c
BOJ;38;4E
BOJ;40;3O
BOJ;40;3E
BOJ;40;4O_b
BOJ;40;4O_c
BOJ;40;4E
BOJ;42;3O
BOJ;42;3E
BOJ;42;4O_b
BOJ;42;4O_c
BOJ;42;4E
BOJ;44;3O
BOJ;44;3E
BOJ;44;4O_b
BOJ;44;4O_c
BOJ;44;4E
BOJ;46;3O
BOJ;46;3E
BOJ;46;4O_b
BOJ;46;4O_c
BOJ;46;4E
BOJ;48;3O
BOJ;48;3E
BOJ;48;4O_b
BOJ;48;4O_c
BOJ;48;4E
BOJ;50;3O
BOJ;50;3E
BOJ;50;4O_b
BOJ;50;4O_c
BOJ;50;4E
BOJ;52;3O
BOJ;52;3E
BOJ;52;4O_b
BOJ;52;4O_c
BOJ;52;4E
BOJ;54;3O
BOJ;54;3E
BOJ;54;4O_b
BOJ;54;4O_c
BOJ;54;4E
BOJ;56;3O
BOJ;56;3E
BOJ;56;4O_b
BOJ;56;4O_c
BOJ;56;4E
BOJ;58;3O
BOJ;58;3E
BOJ;58;4O_b
BOJ;58;4O_c
BOJ;58;4E
BOJ;60;3O
BOJ;60;3E
BOJ;60;4O_b
BOJ;60;4O_c
BOJ;60;4E
BOJ;62;3O
BOJ;62;3E
BOJ;62;4O_b
BOJ;62;4O_c
BOJ;62;4E
BOJ;64;3O
BOJ;64;3E
BOJ;64;4O_b
BOJ;64;4O_c
BOJ;64;4E
BOJ;66;3O
BOJ;66;3E
BOJ;66;4O_b
BOJ;66;4O_c
BOJ;66;4E
BOJ;68;3O
BOJ;68;3E
BOJ;68;4O_b
BOJ;68;4O_c
BOJ;68;4E
BOJ;70;3O
BOJ;70;3E
BOJ;70;4O_b
BOJ;70;4O_c
BOJ;70;4E
BOJ;72;3O
BOJ;72;3E
BOJ;72;4O_b
BOJ;72;4O_c
BOJ;72;4E
BOJ;74;3O
BOJ;74;3E
BOJ;74;4O_b
BOJ;74;4O_c
BOJ;74;4E
BOJ;76;3O
BOJ;76;3E
BOJ;76;4O_b
BOJ;76;4O_c
BOJ;76;4E
BOJ;78;3O
BOJ;78;3E
BOJ;78;4O_b
BOJ;78;4O_c
BOJ;78;4E
BOJ;80;3O
BOJ;80;3E
BOJ;80;4O_b
BOJ;80;4O_c
BOJ;80;4E
BOJ;82;3O
BOJ;82;3E
BOJ;82;4O_b
BOJ;82;4O_c
BOJ;82;4E
BOJ;84;3O
BOJ;84;3E
BOJ;84;4O_b
BOJ;84;4O_c
BOJ;84;4E
BOJ;86;3O
BOJ;86;3E
BOJ;86;4O_b
BOJ;86;4O_c
BOJ;86;4E
BOJ;88;3O
BOJ;88;3E
BOJ;88;4O_b
BOJ;88;4O_c
BOJ;88;4E
BOJ;90;3O
BOJ;90;3E
BOJ;90;4O_b
BOJ;90;4O_c
BOJ;90;4E
BOJ;92;3O
BOJ;92;3E
BOJ;92;4O_b
BOJ;92;4O_c
BOJ;92;4E
BOJ;94;3O
BOJ;94;3E
BOJ;94;4O_b
BOJ;94;4O_c
BOJ;94;4E
BOJ;96;3O
BOJ;96;3E
BOJ;96;4O_b
BOJ;96;4O_c
BOJ;96;4E
BOJ;98;3O
BOJ;98;3E
BOJ;98;4O_b
BOJ;98;4O_c
BOJ;98;4E
BOJ;100;3O
BOJ;100;3E
BOJ;100;4O_b
BOJ;100;4O_c
BOJ;100;4E
ERS;24;2O
ERS;24;3O_a
ERS;24;3O_b
ERS;24;4E
ERS;24;4O_b
ERS;24;4O_c
ERS;26;2O
ERS;26;3O_a
ERS;26;3O_b
ERS;26;4E
ERS;26;4O_b
ERS;26;4O_c
ERS;28;2O
ERS;28;3O_a
ERS;28;3O_b
ERS;28;4E
ERS;28;4O_b
ERS;28;4O_c
ERS;30;2O
ERS;30;3O_a
ERS;30;3O_b
ERS;30;4E
ERS;30;4O_b
ERS;30;4O_c
ERS;32;2O
ERS;32;3O_a
ERS;32;3O_b
ERS;32;4E
ERS;32;4O_b
ERS;32;4O_c
ERS;34;2O
ERS;34;3O_a
ERS;34;3O_b
ERS;34;4E
ERS;34;4O_b
ERS;34;4O_c
ERS;36;2O
ERS;36;3O_a
ERS;36;3O_b
ERS;36;4E
ERS;36;4O_b
ERS;36;4O_c
ERS;38;2O
ERS;38;3O_a
ERS;38;3O_b
ERS;38;4E
ERS;38;4O_b
ERS;38;4O_c
ERS;40;2O
ERS;40;3O_a
ERS;40;3O_b
ERS;40;4E
ERS;40;4O_b
ERS;40;4O_c
ERS;42;2O
ERS;42;3O_a
ERS;42;3O_b
ERS;42;4E
ERS;42;4O_b
ERS;42;4O_c
ERS;44;2O
ERS;44;3O_a
ERS;44;3O_b
ERS;44;4E
ERS;44;4O_b
ERS;44;4O_c
ERS;46;2O
ERS;46;3O_a
ERS;46;3O_b
ERS;46;4E
ERS;46;4O_b
ERS;46;4O_c
ERS;48;2O
ERS;48;3O_a
ERS;48;3O_b
ERS;48;4E
ERS;48;4O_b
ERS;48;4O_c
ERS;50;2O
ERS;50;3O_a
ERS;50;3O_b
ERS;50;4E
ERS;50;4O_b
ERS;50;4O_c
ERS;52;2O
ERS;52;3O_a
ERS;52;3O_b
ERS;52;4E
ERS;52;4O_b
ERS;52;4O_c
ERS;54;2O
ERS;54;3O_a
ERS;54;3O_b
ERS;54;4E
ERS;54;4O_b
ERS;54;4O_c
ERS;56;2O
ERS;56;3O_a
ERS;56;3O_b
ERS;56;4E
ERS;56;4O_b
ERS;56;4O_c
ERS;58;2O
ERS;58;3O_a
ERS;58;3O_b
ERS;58;4E
ERS;58;4O_b
ERS;58;4O_c
ERS;60;2O
ERS;60;3O_a
ERS;60;3O_b
ERS;60;4E
ERS;60;4O_b
ERS;60;4O_c
ERS;62;2O
ERS;62;3O_a
ERS;62;3O_b
ERS;62;4E
ERS;62;4O_b
ERS;62;4O_c
ERS;64;2O
ERS;64;3O_a
ERS;64;3O_b
ERS;64;4E
ERS;64;4O_b
ERS;64;4O_c
ERS;66;2O
ERS;66;3O_a
ERS;66;3O_b
ERS;66;4E
ERS;66;4O_b
ERS;66;4O_c
ERS;68;2O
ERS;68;3O_a
ERS;68;3O_b
ERS;68;4E
ERS;68;4O_b
ERS;68;4O_c
ERS;70;2O
ERS;70;3O_a
ERS;70;3O_b
ERS;70;4E
ERS;70;4O_b
ERS;70;4O_c
ERS;72;2O
ERS;72;3O_a
ERS;72;3O_b
ERS;72;4E
ERS;72;4O_b
ERS;72;4O_c
ERS;74;2O
ERS;74;3O_a
ERS;74;3O_b
ERS;74;4E
ERS;74;4O_b
ERS;74;4O_c
ERS;76;2O
ERS;76;3O_a
ERS;76;3O_b
ERS;76;4E
ERS;76;4O_b
ERS;76;4O_c
ERS;78;2O
ERS;78;3O_a
ERS;78;3O_b
ERS;78;4E
ERS;78;4O_b
ERS;78;4O_c
ERS;80;2O
ERS;80;3O_a
ERS;80;3O_b
ERS;80;4E
ERS;80;4O_b
ERS;80;4O_c
ERS;82;2O
ERS;82;3O_a
ERS;82;3O_b
ERS;82;4E
ERS;82;4O_b
ERS;82;4O_c
ERS;84;2O
ERS;84;3O_a
ERS;84;3O_b
ERS;84;4E
ERS;84;4O_b
ERS;84;4O_c
ERS;86;2O
ERS;86;3O_a
ERS;86;3O_b
ERS;86;4E
ERS;86;4O_b
ERS;86;4O_c
ERS;88;2O
ERS;88;3O_a
ERS;88;3O_b
ERS;88;4E
ERS;88;4O_b
ERS;88;4O_c
ERS;90;2O
ERS;90;3O_a
ERS;90;3O_b
ERS;90;4E
ERS;90;4O_b
ERS;90;4O_c
ERS;92;2O
ERS;92;3O_a
ERS;92;3O_b
ERS;92;4E
ERS;92;4O_b
ERS;92;4O_c
ERS;94;2O
ERS;94;3O_a
ERS;94;3O_b
ERS;94;4E
ERS;94;4O_b
ERS;94;4O_c
ERS;96;2O
ERS;96;3O_a
ERS;96;3O_b
ERS;96;4E
ERS;96;4O_b
ERS;96;4O_c
ERS;98;2O
ERS;98;3O_a
ERS;98;3O_b
ERS;98;4E
ERS;98;4O_b
ERS;98;4O_c
ERS;100;2O
ERS;100;3O_a
ERS;100;3O_b
ERS;100;4E
ERS;100;4O_b
ERS;100;4O_c
