IDREGRO;ID_ARBRE;ESSENCE;ETAT;DHP;VIGUER6;NB_TIGE;SUP_PE;COUPE;LATITUDE;LONGITUDE;ALTITUDE;P_TOT;T_MA;REG_ECO;TYPE_ECO;MSCR;ABCD
TEM23APC5000;1;ERS;10;18.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;2;HEG;10;22.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;3;ERS;10;35.2;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;4;ERS;10;11.8;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;5;ERS;10;21;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;6;ERS;10;40.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;A
TEM23APC5000;7;HEG;10;37.3;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;8;ERS;10;50.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;A
TEM23APC5000;9;HEG;10;27.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;D
TEM23APC5000;10;ERS;10;31.8;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;11;ERS;10;34.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;B
TEM23APC5000;12;ERS;10;10.8;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;13;HEG;10;14.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;14;HEG;10;25.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;15;HEG;10;9.6;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;16;HEG;10;33.7;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;D
TEM23APC5000;17;HEG;10;19.9;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;18;HEG;10;9.9;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;19;HEG;10;13.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;20;ERS;10;24.6;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;21;ERS;10;38.1;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;22;HEG;10;16.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;23;HEG;10;22.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;24;ERS;10;37.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;25;ERS;10;38.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;26;HEG;10;12.3;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;27;HEG;10;14.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;28;ERS;10;20.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;29;ERS;10;29.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;30;HEG;10;29;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;31;HEG;10;18.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;32;HEG;10;19.6;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;33;ERS;10;25.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;34;HEG;10;27.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;35;ERS;10;35.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;B
TEM23APC5000;36;HEG;10;22.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;37;ERS;10;28.9;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;38;ERS;10;18.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;39;HEG;10;22.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;40;ERS;10;35.2;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;41;ERS;10;11.8;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;42;ERS;10;21;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;43;ERS;10;40.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;B
TEM23APC5000;44;HEG;10;37.3;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;45;ERS;10;50.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;46;HEG;10;27.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;47;ERS;10;31.8;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;48;ERS;10;34.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;49;ERS;10;10.8;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;50;HEG;10;14.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;51;HEG;10;25.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;52;HEG;10;9.6;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;53;HEG;10;33.7;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;D
TEM23APC5000;54;HEG;10;19.9;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;55;HEG;10;9.9;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;56;HEG;10;13.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;57;ERS;10;24.6;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;58;ERS;10;38.1;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;59;HEG;10;16.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;60;HEG;10;22.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;61;ERS;10;37.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;62;ERS;10;38.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;63;HEG;10;12.3;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;64;HEG;10;14.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;65;ERS;10;20.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;66;ERS;10;29.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;67;HEG;10;29;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;68;HEG;10;18.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;69;HEG;10;19.6;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;70;ERS;10;25.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;71;HEG;10;27.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;72;ERS;10;35.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;73;HEG;10;22.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;74;ERS;10;28.9;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;75;ERS;10;18.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;76;HEG;10;22.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;77;ERS;10;35.2;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;B
TEM23APC5000;78;ERS;10;11.8;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;79;ERS;10;21;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;80;ERS;10;40.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;81;HEG;10;37.3;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;82;ERS;10;50.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;B
TEM23APC5000;83;HEG;10;27.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;D
TEM23APC5000;84;ERS;10;31.8;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;85;ERS;10;34.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;86;ERS;10;10.8;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;87;HEG;10;14.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;88;HEG;10;25.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;89;HEG;10;9.6;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;90;HEG;10;33.7;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;D
TEM23APC5000;91;HEG;10;19.9;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;92;HEG;10;9.9;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;93;HEG;10;13.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;94;ERS;10;24.6;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;95;ERS;10;38.1;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;96;HEG;10;16.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;97;HEG;10;22.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;98;ERS;10;37.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;B
TEM23APC5000;99;ERS;10;38.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;100;HEG;10;12.3;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;101;HEG;10;14.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;102;ERS;10;20.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;103;ERS;10;29.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;104;HEG;10;29;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;105;HEG;10;18.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;106;HEG;10;19.6;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;107;ERS;10;25.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;108;HEG;10;27.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;109;ERS;10;35.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;110;HEG;10;22.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;111;ERS;10;28.9;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;112;ERS;10;18.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;113;HEG;10;22.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;114;ERS;10;35.2;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;115;ERS;10;11.8;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;116;ERS;10;21;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;117;ERS;10;40.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;A
TEM23APC5000;118;HEG;10;37.3;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;B
TEM23APC5000;119;ERS;10;50.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;B
TEM23APC5000;120;HEG;10;27.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;121;ERS;10;31.8;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;122;ERS;10;34.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;123;ERS;10;10.8;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;124;HEG;10;14.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;125;HEG;10;25.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;126;HEG;10;9.6;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;127;HEG;10;33.7;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;128;HEG;10;19.9;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;129;HEG;10;9.9;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;130;HEG;10;13.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;131;ERS;10;24.6;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;132;ERS;10;38.1;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;133;HEG;10;16.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;134;HEG;10;22.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;135;ERS;10;37.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;B
TEM23APC5000;136;ERS;10;38.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;B
TEM23APC5000;137;HEG;10;12.3;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;138;HEG;10;14.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;139;ERS;10;20.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;140;ERS;10;29.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;141;HEG;10;29;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;142;HEG;10;18.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;143;HEG;10;19.6;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;144;ERS;10;25.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;145;HEG;10;27.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;146;ERS;10;35.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;147;HEG;10;22.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;148;ERS;10;28.9;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;149;ERS;10;18.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;150;HEG;10;22.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;151;ERS;10;35.2;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;152;ERS;10;11.8;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;153;ERS;10;21;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;154;ERS;10;40.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;155;HEG;10;37.3;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;156;ERS;10;50.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;157;HEG;10;27.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;D
TEM23APC5000;158;ERS;10;31.8;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;159;ERS;10;34.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;160;ERS;10;10.8;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;161;HEG;10;14.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;162;HEG;10;25.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;163;HEG;10;9.6;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;164;HEG;10;33.7;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;D
TEM23APC5000;165;HEG;10;19.9;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;166;HEG;10;9.9;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;167;HEG;10;13.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;168;ERS;10;24.6;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;169;ERS;10;38.1;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;170;HEG;10;16.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;171;HEG;10;22.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;172;ERS;10;37.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;173;ERS;10;38.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;174;HEG;10;12.3;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;175;HEG;10;14.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;176;ERS;10;20.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;177;ERS;10;29.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;178;HEG;10;29;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;179;HEG;10;18.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;180;HEG;10;19.6;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;181;ERS;10;25.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;182;HEG;10;27.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;183;ERS;10;35.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;184;HEG;10;22.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;185;ERS;10;28.9;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
